Stack,Fold,Accuracy,Stimuli
1,1,0.5332023575638507,MultipleVC
1,2,0.6836655449132798,MultipleVC
1,3,0.7834931329359938,MultipleVC
1,4,0.7148533844889011,MultipleVC
1,5,0.6946494464944649,MultipleVC
2,1,0.6838321788001568,MultipleVC
2,2,0.8296248382923674,MultipleVC
2,3,0.9042195185089309,MultipleVC
2,4,0.8285479901558654,MultipleVC
2,5,0.8186009748386247,MultipleVC
3,1,0.762278978388998,MultipleVC
3,2,0.8764873254009312,MultipleVC
3,3,0.948260250937783,MultipleVC
3,4,0.8650281477413154,MultipleVC
3,5,0.8855334300408809,MultipleVC
4,1,0.7976969379743523,MultipleVC
4,2,0.8996378685980342,MultipleVC
4,3,0.9637868598034144,MultipleVC
4,4,0.8802140504939627,MultipleVC
4,5,0.9154707044107966,MultipleVC
5,1,0.8231363815013756,MultipleVC
5,2,0.9147668393782383,MultipleVC
5,3,0.9704510108864697,MultipleVC
5,4,0.8919956140350878,MultipleVC
5,5,0.9330786457647213,MultipleVC
1,1,0.5567703952901598,SingleVC
1,2,0.6630639903928632,SingleVC
1,3,0.717764060356653,SingleVC
1,4,0.7105716253443526,SingleVC
1,5,0.6884095189179935,SingleVC
2,1,0.6978344804431761,SingleVC
2,2,0.8049408131755018,SingleVC
2,3,0.8554526748971193,SingleVC
2,4,0.8261168384879725,SingleVC
2,5,0.8223098012337218,SingleVC
3,1,0.7580292584496384,SingleVC
3,2,0.8521054433413214,SingleVC
3,3,0.8953130345535408,SingleVC
3,4,0.8760344827586207,SingleVC
3,5,0.8796375448794665,SingleVC
4,1,0.7895973154362416,SingleVC
4,2,0.8863909387334821,SingleVC
4,3,0.9171952683010458,SingleVC
4,4,0.8976174033149171,SingleVC
4,5,0.9055698371893744,SingleVC
5,1,0.8121314237573716,SingleVC
5,2,0.8992128678986995,SingleVC
5,3,0.9264454327745467,SingleVC
5,4,0.9142266620737168,SingleVC
5,5,0.9262995896032832,SingleVC
